Source, Target, Length
0, 0, 1
1, 0, 17
2, 0, 53
3, 0, 54
4, 0, 193
5, 0, 194
6, 0, 226
7, 0, 227
8, 0, 238
9, 0, 239
10, 0, 241
11, 0, 242
12, 0, 275
13, 0, 277
14, 0, 278
15, 0, 333
16, 0, 575
17, 0, 576
18, 0, 623
19, 0, 1333
20, 0, 1518
21, 0, 1525
22, 0, 1526
23, 0, 1757
24, 0, 1758
25, 0, 2380
26, 0, 2533
27, 0, 2539
28, 0, 3078
29, 0, 3079
30, 0, 3080
31, 0, 4329
32, 0, 4347
33, 0, 4539
34, 0, 4540
35, 1, 1657
36, 2, 3
37, 2, 157
38, 2, 2261
39, 2, 2455
40, 2, 5060
41, 2, 5061
42, 3, 156
43, 3, 157
44, 3, 2146
45, 3, 2259
46, 3, 2260
47, 3, 2262
48, 3, 6692
49, 4, 5
50, 4, 6
51, 4, 223
52, 4, 224
53, 4, 1579
54, 4, 3231
55, 4, 3242
56, 4, 3243
57, 4, 3244
58, 4, 3246
59, 4, 3250
60, 4, 4308
61, 4, 4320
62, 4, 4337
63, 4, 4338
64, 4, 4444
65, 4, 4446
66, 4, 4469
67, 4, 4470
68, 4, 4473
69, 4, 4474
70, 4, 4475
71, 4, 4476
72, 4, 4477
73, 4, 4582
74, 4, 4583
75, 4, 4588
76, 4, 4804
77, 4, 6133
78, 4, 6150
79, 4, 6151
80, 4, 6191
81, 4, 6192
82, 4, 6336
83, 4, 6350
84, 4, 6361
85, 4, 6404
86, 5, 9
87, 5, 10
88, 6, 8
89, 6, 9
90, 7, 8
91, 7, 9
92, 7, 10
93, 7, 11
94, 7, 13
95, 7, 16
96, 8, 9
97, 9, 10
98, 9, 11
99, 9, 12
100, 11, 12
101, 11, 14
102, 11, 52
103, 11, 96
104, 11, 103
105, 11, 104
106, 11, 107
107, 13, 15
108, 13, 107
109, 14, 15
110, 14, 16
111, 15, 16
112, 15, 107
113, 17, 50
114, 17, 1657
115, 18, 1964
116, 18, 1966
117, 19, 20
118, 20, 45
119, 20, 1234
120, 21, 22
121, 21, 314
122, 22, 3250
123, 23, 24
124, 23, 123
125, 23, 378
126, 23, 383
127, 23, 405
128, 23, 406
129, 23, 427
130, 23, 438
131, 23, 444
132, 24, 124
133, 24, 353
134, 24, 384
135, 24, 1269
136, 24, 2303
137, 24, 2436
138, 24, 2439
139, 25, 26
140, 25, 27
141, 26, 27
142, 27, 28
143, 28, 61
144, 29, 30
145, 29, 2319
146, 29, 2321
147, 30, 191
148, 30, 206
149, 30, 526
150, 30, 1492
151, 30, 1844
152, 31, 5040
153, 31, 5041
154, 32, 33
155, 32, 846
156, 32, 2975
157, 33, 781
158, 33, 784
159, 34, 35
160, 34, 93
161, 34, 94
162, 34, 205
163, 34, 617
164, 34, 631
165, 34, 947
166, 34, 990
167, 34, 1314
168, 34, 1491
169, 34, 1830
170, 34, 1846
171, 34, 1847
172, 34, 2062
173, 34, 3294
174, 34, 3642
175, 34, 3671
176, 34, 3929
177, 34, 4481
178, 34, 4482
179, 34, 4594
180, 34, 4958
181, 34, 5780
182, 35, 1848
183, 36, 37
184, 36, 38
185, 36, 39
186, 36, 40
187, 37, 42
188, 39, 40
189, 40, 75
190, 41, 42
191, 41, 43
192, 42, 43
193, 42, 44
194, 45, 1234
195, 46, 47
196, 46, 375
197, 46, 2452
198, 46, 2453
199, 46, 2491
200, 46, 6123
201, 47, 2452
